SalePrice,Area,Price/m2,Width,Length,Location
2570.0,100.0,25.7,5.0,20.0,quan ngu hanh son
1820.0,115.0,15.83,5.0,25.0,quan lien chieu
3200.0,100.0,32.0,5.0,20.0,quan ngu hanh son
2100.0,100.0,21.0,5.0,20.0,quan ngu hanh son
2950.0,100.0,29.5,5.0,20.0,quan ngu hanh son
2350.0,115.0,20.43,5.0,23.0,quan lien chieu
482.0,120.0,4.02,6.0,20.0,huyen hoa vang
480.0,105.0,4.57,6.0,18.0,huyen hoa vang
3930.0,100.0,39.3,5.0,20.0,quan son tra
1870.0,100.0,18.7,5.0,20.0,huyen hoa vang
2750.0,100.0,27.5,5.0,20.0,quan cam le
488.0,129.0,3.78,5.0,28.0,huyen hoa vang
5050.0,72.0,70.14,6.5,11.0,quan thanh khe
2900.0,100.0,29.0,5.0,20.0,quan ngu hanh son
950.0,147.0,6.46,7.0,21.0,huyen hoa vang
2050.0,100.0,20.5,5.0,20.0,quan lien chieu
1100.0,90.0,12.22,5.0,19.0,quan ngu hanh son
2350.0,100.0,23.5,5.0,20.0,quan cam le
1250.0,200.0,6.25,6.7,29.0,huyen hoa vang
5500.0,119.0,46.22,7.0,17.0,quan son tra
4200.0,76.0,55.26,5.0,15.33,quan thanh khe
3350.0,100.0,33.5,5.0,20.0,quan cam le
2790.0,100.0,27.9,5.0,20.0,quan cam le
1790.0,61.0,29.34,4.02,15.0,quan thanh khe
680.0,120.0,5.67,5.0,24.0,huyen hoa vang
2099.0,100.0,20.99,5.0,20.0,quan lien chieu
1720.0,60.0,28.67,3.0,20.0,quan thanh khe
4950.0,122.0,40.57,5.0,24.5,quan son tra
3350.0,80.0,41.88,4.0,24.5,quan lien chieu
2070.0,100.0,20.7,5.0,20.0,quan ngu hanh son
2900.0,100.0,29.0,5.0,20.0,quan ngu hanh son
3150.0,100.0,31.5,5.0,20.0,quan ngu hanh son
3800.0,82.0,46.34,5.18,18.0,quan son tra
1300.0,350.0,3.71,17.0,22.0,huyen hoa vang
3000.0,85.0,35.29,5.0,17.0,quan lien chieu
2750.0,100.0,27.5,5.0,20.0,quan ngu hanh son
2600.0,75.0,34.67,5.0,15.0,quan lien chieu
3520.0,100.0,35.2,5.0,20.0,quan cam le
6600.0,125.0,52.8,5.0,25.0,quan ngu hanh son
390.0,100.0,3.9,5.0,50.0,huyen hoa vang
3456.7891229999996,100.0,34.57,5.0,20.0,quan cam le
3600.0,100.0,36.0,5.0,20.0,quan cam le
646.0,143.0,4.52,5.0,26.0,huyen hoa vang
3180.0,101.3,31.49,6.0,16.88,quan ngu hanh son
3300.0,98.0,33.67,6.0,16.88,quan lien chieu
3460.0,100.0,34.6,5.0,20.0,quan cam le
2900.0,120.0,24.17,5.0,24.0,quan cam le
1350.0,99.0,13.64,4.0,25.0,quan cam le
698.0,170.0,4.11,5.0,32.0,huyen hoa vang
3649.0,100.0,36.49,5.0,20.0,quan cam le
3750.0,120.0,31.25,5.0,20.0,quan thanh khe
3350.0,100.0,33.5,5.0,20.0,quan cam le
350.0,105.0,3.33,5.0,21.0,quan ngu hanh son
1950.0,57.0,34.21,4.0,30.0,quan son tra
2850.0,84.1,33.93,4.2,18.0,quan lien chieu
700.0,150.0,4.67,6.0,26.1,huyen hoa vang
800.0,105.0,7.62,5.0,21.0,quan ngu hanh son
3700.0,110.0,33.64,10.0,21.0,quan hai chau
5900.0,91.0,64.84,6.0,15.0,quan son tra
3400.0,100.0,34.0,5.0,20.0,quan cam le
3250.0,85.0,38.24,5.0,17.0,quan son tra
3050.0,56.0,54.46,5.0,17.0,quan hai chau
2800.0,100.0,28.0,5.0,20.0,quan ngu hanh son
2700.0,75.0,36.0,5.0,15.0,quan lien chieu
3280.0,96.0,34.17,5.0,19.0,quan cam le
2900.0,90.0,32.22,5.0,18.0,quan lien chieu
5400.0,90.0,60.0,5.0,18.0,quan thanh khe
1200.0,125.0,9.6,5.0,25.0,huyen hoa vang
3100.0,110.0,28.18,5.0,22.0,quan cam le
11800.0,222.0,53.15,9.0,25.0,quan son tra
2350.0,95.0,24.74,5.0,25.0,quan ngu hanh son
3450.0,100.0,34.5,5.0,20.0,quan cam le
3100.0,110.0,28.18,5.0,22.0,quan cam le
2000.0,66.0,30.3,4.5,12.0,quan thanh khe
1730.0,105.0,16.476190476190474,5.0,21.0,quan ngu hanh son
4450.0,100.0,44.5,5.0,20.0,quan cam le
1680.0,51.0,32.94,5.0,20.0,quan thanh khe
5200.0,153.0,33.99,7.0,20.0,quan ngu hanh son
3700.0,90.0,41.11,7.0,20.0,quan ngu hanh son
1400.0,100.0,14.0,7.0,20.0,quan ngu hanh son
3900.0,145.0,26.9,8.9,20.0,quan ngu hanh son
1800.0,64.0,28.13,4.5,14.0,quan lien chieu
2550.0,90.0,28.33,4.5,20.0,quan lien chieu
2200.0,100.0,22.0,5.0,20.0,quan ngu hanh son
2550.0,100.0,25.5,5.0,20.0,quan cam le
