SalePrice,Area,Price/m2,Width,Length,Location
2100.0,53,39.62,4,12,quan son tra
2900.0,100,29.0,5,20,quan ngu hanh son
2050.0,80,25.63,5,,quan lien chieu
415.0,152,2.73,5,30,huyen hoa vang
4350.0,90,48.33,4,20,quan cam le
2570.0,87,29.54,5,17,quan ngu hanh son
6600.0,76,86.84,5,17,quan son tra
2350.0,45,52.22,5,17,quan hai chau
950.0,153,6.21,6.15,26,huyen hoa vang
3400.0,100,34.0,6.15,26,quan cam le
2500.0,77,32.47,4,19,quan hai chau
520.0,100,5.2,5,19,huyen hoa vang
8000.0,98,81.63,7,14,quan son tra
1700.0,74,22.97,4.3,17.5,quan lien chieu
5200.0,153,33.99,7,22,quan ngu hanh son
3200.0,110,29.09,7,22,quan cam le
2100.0,68,30.88,7,22,quan lien chieu
1700.0,93,18.28,5,19.5,quan cam le
1170.0,95,12.32,5,19,huyen hoa vang
8000.0,119,67.23,6,19.8,quan lien chieu
3450.0,90,38.33,5,18,quan lien chieu
2850.0,82,34.76,5,16,quan cam le
3260.0,100,32.6,5,20,quan cam le
3200.0,100,32.0,5,20,quan cam le
2400.0,100,24.0,4,22,quan ngu hanh son
160.0,6.25,26.67,4,22,quan cam le
1700.0,167,10.18,5,33,quan ngu hanh son
3350.0,80,41.88,4,20,quan lien chieu
2550.0,90,28.33,4,20,quan lien chieu
3030.0,100,30.3,5,20,quan cam le
3000.0,137,21.9,5,27,quan lien chieu
860.0,114,7.5430000000000005e-06,4.8,23.8,huyen hoa vang
37440.0,312,120.0,12,25.5,quan ngu hanh son
2300.0,65,35.38,4,25.5,quan son tra
8200.0,90,91.11,5,18,quan ngu hanh son
3945.0,145,27.21,8,17,quan ngu hanh son
2500.0,156,16.03,5,17,quan lien chieu
2300.0,80,28.75,5,17,quan ngu hanh son
2850.0,74,38.51,5,14,quan lien chieu
6400.0,72,88.89,4,18,quan ngu hanh son
3.0,100,0.0,4,18,quan ngu hanh son
5400.0,82,65.85,5,16,quan hai chau
3600.0,60,60.0,5,20,quan thanh khe
760.0,100,7.6,5,20,huyen hoa vang
19000.0,322,59.01,15,21,quan cam le
40000.0,329,121.58,13.5,24.4,quan ngu hanh son
2150.0,100,21.5,13.5,24.4,quan ngu hanh son
1400.0,103,13.59,13.5,24.4,quan ngu hanh son
450.0,140,3.21,5,28,huyen hoa vang
2050.0,81,25.31,6,15,quan lien chieu
40.0,1200,3.3333e-05,20,15,quan lien chieu
900.0,10000,9e-05,100,100,huyen hoa vang
1580.0,236,6.69,9,26.2,huyen hoa vang
2100.0,53,39.62,4,13,quan son tra
2050.0,100,20.5,5,13,quan lien chieu
5100.0,98,52.04,5,19,quan ngu hanh son
13200.0,300,44.0,12,25,quan cam le
2500.0,950,2.63,43,20,huyen hoa vang
509.0,144,3.53,43,20,huyen hoa vang
4050.0,100,40.5,5,20,quan cam le
2500.0,1247,2.0,31,40,huyen hoa vang
324.0,100,3.24,31,40,huyen hoa vang
